SETUP																																																																		
N.SSMU	N.Bathtub	N.season	Timeseries.Yrs	Krill.Rage	Init.Season	Base.Fishing.Option																																																												
14	SGW	5	N	6642811	1.0000	0.0417	0.0000	0.0000	0.1079	4317827	879308	0.3700	0.0000	494138.0000	20.0000	0.0417	0.0000	0.0000	0.0000	NA	NA	NA	0.0000	489791.0000	20.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0900	0.0100	0.0000	0.0000	0.0000	0.0100	0.0100	0.0200	0.1600	0.0000	0.0000	0.0000	0.1800	0.5100	0.0100	0.0000	0.0000	0.0000					
15	SGE	4	N	564496	1.0000	0.0661	0.0000	0.0000	0.1843	366922	118934	0.3700	0.0000	536057.0000	20.0000	0.0661	0.0000	0.0000	0.0000	NA	NA	NA	0.0000	467405.0000	20.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.1100	0.0200	0.0100	0.0100	0.0100	0.0100	0.0100	0.0400	0.1100	0.0000	0.0000	0.0100	0.1200	0.0200	0.5200	0.0000	0.0000	0.0000					
																																																																		
FISH																																																																		
		Rage	init.type	init.value	Jphi	M	Mswitch	Mprop	Ralpha	RSpeak	RRpeak	Rphi	Qq	QQmax	Qk5	M	Mswitch	Mprop	Ralpha	RSpeak	RRpeak	Rphi	Qq	QQmax	Qk5	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18					
SSMU	SSMU	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2					
1	APPA	2	N	8402727132	NA	0.3693	0.0000	0.0000	10.0000	8500000000	6616624108	0.3700	0.0000	1949.7003	5.0000	0.3693	0.0000	0.0000	0.0000	NA	NA	NA	0.0000	271.7391	5.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000					
2	APW	3	N	834429245	NA	0.2483	0.0000	0.0000	10.0000	850000000	421233884	0.3700	0.0000	3386.2551	5.0000	0.2483	0.0000	0.0000	0.0000	NA	NA	NA	0.0000	673.9130	5.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000					
3	APDPW	3	N	301932508	NA	0.2934	0.0000	0.0000	10.0000	320000000	181072676	0.3700	0.0000	2881.2925	5.0000	0.2934	0.0000	0.0000	0.0000	NA	NA	NA	0.0000	493.4783	5.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000					
4	APDPE	3	N	322045302	NA	0.2824	0.0000	0.0000	10.0000	330000000	188330169	0.3700	0.0000	3007.6453	5.0000	0.2824	0.0000	0.0000	0.0000	NA	NA	NA	0.0000	532.6087	5.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000					
